invoice_id,vendor_name,invoice_number,invoice_date,amount_inr,department,status,payment_date,description,po_number
INV001,TechSupply Co,TS-2024-001,2024-01-10,190000,IT,Paid,2024-01-20,Dell Laptops Q1,PO-2024-001
INV002,TechSupply Co,TS-2024-001,2024-01-10,190000,IT,Paid,2024-02-01,Dell Laptops Q1,PO-2024-001
INV003,GlobalParts Ltd,GP-2024-045,2024-02-01,120000,IT,Paid,2024-02-15,Server RAM Batch,PO-2024-012
INV004,OfficePro,OP-2024-112,2024-02-10,270000,Admin,Paid,2024-02-25,Office Furniture,PO-2024-008
INV005,CloudDist,CD-2024-078,2024-02-20,170000,IT,Paid,2024-03-05,Storage Drives,PO-2024-019
INV006,NetVendor,NV-2024-056,2024-03-01,225000,IT,Paid,2024-03-15,Network Equipment,PO-2024-023
INV007,NetVendor,NV-2024-056,2024-03-01,225000,IT,Paid,2024-03-28,Network Equipment,PO-2024-023
INV008,TechSupply Co,TS-2024-089,2024-03-15,512000,IT,Paid,2024-03-30,Monitors Q1,PO-2024-031
INV009,SoftLicense Inc,SL-2024-201,2024-03-20,350000,IT,Paid,2024-04-05,Annual SaaS Licenses,PO-2024-035
INV010,SoftLicense Inc,SL-2024-201,2024-03-20,350000,IT,Pending,,Annual SaaS Licenses,PO-2024-035
INV011,QuickVend,QV-2024-033,2024-04-01,140000,IT,Paid,2024-04-15,Keyboards & Mice,PO-2024-041
INV012,CloudDist,CD-2024-098,2024-04-15,270000,IT,Paid,2024-04-28,External Storage,PO-2024-047
INV013,TechSupply Co,TS-2024-115,2024-04-20,162500,IT,Pending,,Webcams Q2,PO-2024-052
INV014,MaintCo,MC-2024-007,2024-01-15,85000,Facilities,Paid,2024-01-30,HVAC Maintenance,PO-2024-004
INV015,MaintCo,MC-2024-007,2024-01-15,85000,Facilities,Paid,2024-02-12,HVAC Maintenance,PO-2024-004
INV016,ConsultFirm,CF-2024-019,2024-02-28,450000,HR,Paid,2024-03-15,HR Consulting Q1,PO-2024-016
INV017,ConsultFirm,CF-2024-019,2024-02-28,450000,HR,Paid,2024-04-01,HR Consulting Q1,PO-2024-016
INV018,AdAgency,AA-2024-034,2024-03-31,280000,Marketing,Paid,2024-04-15,Digital Campaign,PO-2024-029
INV019,PrintMedia,PM-2024-011,2024-04-05,95000,Marketing,Paid,2024-04-20,Collateral Printing,PO-2024-043
INV020,LegalPartners,LP-2024-022,2024-04-10,320000,Legal,Paid,2024-04-25,Retainer Q1,PO-2024-049
